1	Nanyang Technological University	南洋理工大学	新加坡
2	Tsinghua University	清华大学	中国
3	University of Toronto	多伦多大学	加拿大
4	Zhejiang University	浙江大学	中国
5	Harbin Institute of Technology	哈尔滨工业大学	中国
6	Harvard University	哈佛大学	美国
7	Huazhong University of Science and Technology	华中科技大学	中国
8	University of Alberta	阿尔伯塔大学	加拿大
9	University of Montreal	蒙特利尔大学	加拿大
10	Carnegie Mellon University	卡内基梅隆大学	美国
11	University of California, Los Angeles	加州大学-洛杉矶	美国
12	Southeast University	东南大学	中国
13	University of Oxford	牛津大学	英国
14	Stanford University	斯坦福大学	美国
15	The Hong Kong Polytechnic University	香港理工大学	中国香港
16	Peking University	北京大学	中国
17	Beihang University	北京航空航天大学	中国
18	University of Technology Sydney	悉尼科技大学	澳大利亚
19	National University of Singapore	新加坡国立大学	新加坡
20	Shanghai Jiao Tong University	上海交通大学	中国
21	The Hong Kong University of Science and Technology	香港科技大学	中国香港
22	Xi'an Jiaotong University	西安交通大学	中国
23	University College London	伦敦大学学院	英国
24	Beijing Institute of Technology	北京理工大学	中国
25	Wuhan University	武汉大学	中国
26	University of California, Berkeley	加州大学-伯克利	美国
27	New York University	纽约大学	美国
28	Northwestern Polytechnical University	西北工业大学	中国
29	University of Science and Technology of China	中国科学技术大学	中国
30	University of Electronic Science and Technology of China	电子科技大学	中国
31	The Chinese University of Hong Kong	香港中文大学	中国香港
32	National University of Defense Technology	中国人民解放军国防科技大学	中国
33	Tongji University	同济大学	中国
34	Westlake University	西湖大学	中国
35	Anhui University	安徽大学	中国
36	Massachusetts Institute of Technology	麻省理工学院	美国
37	Tianjin University	天津大学	中国
38	The Australian National University	澳大利亚国立大学	澳大利亚
39	Nanjing University of Science & Technology	南京理工大学	中国
39	Nankai University	南开大学	中国
41	Sun Yat-sen University	中山大学	中国
42	Shenzhen University	深圳大学	中国
43	Xidian University	西安电子科技大学	中国
44	University of Illinois Urbana, Champaign	伊利诺伊大学厄巴纳-香槟	美国
45	Adelaide University	阿德莱德大学	澳大利亚
46	Mohamed Bin Zayed University of Artificial Intelligence	穆罕默德·本·扎耶德人工智能大学	阿联酋
47	Korea Advanced Institute of Science and Technology	韩国科学技术院	韩国
48	South China University of Technology	华南理工大学	中国
49	Hefei University of Technology	合肥工业大学	中国
50	Fudan University	复旦大学	中国
51-75	Beijing Jiaotong University	北京交通大学	中国
51-75	City University of Hong Kong	香港城市大学	中国香港
51-75	Dalian University of Technology	大连理工大学	中国
51-75	ETH Zurich	苏黎世联邦理工学院	瑞士
51-75	Hong Kong Baptist University	香港浸会大学	中国香港
51-75	Imperial College London	帝国理工学院	英国
51-75	Johns Hopkins University	约翰斯·霍普金斯大学	美国
51-75	Lancaster University	兰卡斯特大学	英国
51-75	LMU Munich	慕尼黑大学	德国
51-75	Nanjing University	南京大学	中国
51-75	Northeastern University (Shenyang)	东北大学（沈阳）	中国
51-75	Seoul National University	首尔大学	韩国
51-75	Sichuan University	四川大学	中国
51-75	Technical University of Berlin	柏林工业大学	德国
51-75	Technical University of Munich	慕尼黑工业大学	德国
51-75	The University of Hong Kong	香港大学	中国香港
51-75	University of British Columbia	英属哥伦比亚大学	加拿大
51-75	University of Cambridge	剑桥大学	英国
51-75	University of Granada	格拉纳达大学	西班牙
51-75	University of Macau	澳门大学	中国澳门
51-75	University of Southern California	南加州大学	美国
51-75	University of Sydney	悉尼大学	澳大利亚
51-75	University of Waterloo	滑铁卢大学	加拿大
51-75	Victoria University of Wellington	惠灵顿维多利亚大学	新西兰
51-75	Zhengzhou University	郑州大学	中国
76-100	Beijing University of Posts and Telecommunications	北京邮电大学	中国
76-100	Brunel University London	布鲁内尔大学	英国
76-100	Central South University	中南大学	中国
76-100	Chongqing University	重庆大学	中国
76-100	Cornell University	康奈尔大学	美国
76-100	Georgia Institute of Technology	佐治亚理工学院	美国
76-100	Hunan University	湖南大学	中国
76-100	Korea University	高丽大学	韩国
76-100	Lingnan University	岭南大学	中国香港
76-100	Macquarie University	麦考瑞大学	澳大利亚
76-100	Monash University	莫纳什大学	澳大利亚
76-100	Nanjing University of Aeronautics and Astronautics	南京航空航天大学	中国
76-100	Northwestern University	西北大学（埃文斯顿）	美国
76-100	NTNU - Norwegian University of Science and Technology	挪威科学技术大学	挪威
76-100	Paris-Saclay University	巴黎萨克雷大学	法国
76-100	Shandong University	山东大学	中国
76-100	Shanghai University	上海大学	中国
76-100	Simon Fraser University	西蒙菲莎大学	加拿大
76-100	Singapore University of Technology and Design	新加坡科技设计大学	新加坡
76-100	Southern University of Science and Technology	南方科技大学	中国
76-100	Swinburne University of Technology	斯威本科技大学	澳大利亚
76-100	University of Central Florida	中佛罗里达大学	美国
76-100	University of Copenhagen	哥本哈根大学	丹麦
76-100	Xiamen University	厦门大学	中国
76-100	Yonsei University	延世大学	韩国
101-150	Arizona State University	亚利桑那州立大学	美国
101-150	Asia University	亚洲大学（台中）	中国台湾
101-150	Beijing University of Technology	北京工业大学	中国
101-150	Chongqing University of Posts and Telecommunications	重庆邮电大学	中国
101-150	Delft University of Technology	代尔夫特理工大学	荷兰
101-150	East China Normal University	华东师范大学	中国
101-150	Eindhoven University of Technology	埃因霍温工业大学	荷兰
101-150	Guangdong University of Technology	广东工业大学	中国
101-150	Guangzhou University	广州大学	中国
101-150	Humboldt University of Berlin	柏林洪堡大学	德国
101-150	Jilin University	吉林大学	中国
101-150	King's College London	伦敦国王学院	英国
101-150	KTH Royal Institute of Technology	皇家理工学院	瑞典
101-150	McGill University	麦吉尔大学	加拿大
101-150	Michigan State University	密歇根州立大学	美国
101-150	Nanjing University of Information Science & Technology	南京信息工程大学	中国
101-150	National Tsing Hua University	台湾清华大学	中国台湾
101-150	New Jersey Institute of Technology	新泽西理工学院	美国
101-150	Northeastern University (Boston)	东北大学（波士顿）	美国
101-150	Ohio State University, Columbus	俄亥俄州立大学-哥伦布	美国
101-150	Polytechnic University of Milan	米兰理工大学	意大利
101-150	Princeton University	普林斯顿大学	美国
101-150	PSL University	巴黎文理大学	法国
101-150	Purdue University, West Lafayette	普渡大学-西拉法叶	美国
101-150	Singapore Management University	新加坡管理大学	新加坡
101-150	Swiss Federal Institute of Technology Lausanne	洛桑联邦理工学院	瑞士
101-150	Technion-Israel Institute of Technology	以色列理工学院	以色列
101-150	Texas A&M University	德州农工大学	美国
101-150	The Chinese University of Hong Kong, Shenzhen	香港中文大学（深圳）	中国
101-150	The University of Edinburgh	爱丁堡大学	英国
101-150	The University of Manchester	曼彻斯特大学	英国
101-150	The University of New South Wales	新南威尔士大学	澳大利亚
101-150	The University of Sheffield	谢菲尔德大学	英国
101-150	The University of Texas at Austin	德克萨斯州大学-奥斯汀	美国
101-150	The University of Tokyo	东京大学	日本
101-150	The University of Western Australia	西澳大学	澳大利亚
101-150	University of Bristol	布里斯托大学	英国
101-150	University of California, San Diego	加州大学-圣地亚哥	美国
101-150	University of Illinois Chicago	伊利诺大学-芝加哥	美国
101-150	University of Maryland, College Park	马里兰大学-大学城	美国
101-150	University of Michigan, Ann Arbor	密歇根大学-安娜堡	美国
101-150	University of Nottingham	诺丁汉大学	英国
101-150	University of Ottawa	渥太华大学	加拿大
101-150	University of Pennsylvania	宾夕法尼亚大学	美国
101-150	University of Science and Technology Beijing	北京科技大学	中国
101-150	University of Surrey	萨里大学	英国
101-150	University of Trento	特伦托大学	意大利
101-150	University of Washington	华盛顿大学	美国
101-150	University of York	约克大学（约克）	英国
101-150	Utrecht University	乌得勒支大学	荷兰
151-200	Aalborg University	奥尔堡大学	丹麦
151-200	Brown University	布朗大学	美国
151-200	Cairo University	开罗大学	埃及
151-200	China University of Geosciences	中国地质大学（武汉）	中国
151-200	Columbia University	哥伦比亚大学	美国
151-200	Czech Technical University in Prague	捷克技术大学	捷克
151-200	Dalian Maritime University	大连海事大学	中国
151-200	Deakin University	迪肯大学	澳大利亚
151-200	East China University of Science and Technology	华东理工大学	中国
151-200	Fuzhou University	福州大学	中国
151-200	Griffith University	格里菲思大学	澳大利亚
151-200	Hangzhou Dianzi University	杭州电子科技大学	中国
151-200	Institut Polytechnique de Paris	巴黎理工学院 (IPP)	法国
151-200	King Abdullah University of Science and Technology	阿卜杜拉国王科技大学	沙特阿拉伯
151-200	KU Leuven	鲁汶大学（佛兰德语）	比利时
151-200	Linkoping University	林雪平大学	瑞典
151-200	Macau University of Science and Technology	澳门科技大学	中国澳门
151-200	Nanjing University of Posts and Telecommunications	南京邮电大学	中国
151-200	Newcastle University	纽卡斯尔大学（英国纽卡斯尔）	英国
